epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,31.4439,0.81726,0.95192,1.11987,0.96015,0.46097,0.88635,0.68149,0.86,2.23248,0.97609,0.000614858,0.000614858,0.000614858
56,31.9402,0.69121,0.81579,0.9339,0.94595,0.45833,0.88358,0.70328,0.82515,2.20888,0.94982,0.000625109,0.000625109,0.000625109
57,32.3508,0.85049,0.9119,1.0703,0.94595,0.45833,0.88358,0.70328,0.82515,2.20888,0.94982,0.00063532,0.00063532,0.00063532
58,32.7998,0.99345,1.4296,1.1601,0.97056,0.46049,0.90578,0.76283,0.77113,2.20644,0.91188,0.000645489,0.000645489,0.000645489
59,33.2278,0.72209,0.87643,0.98011,0.97056,0.46049,0.90578,0.76283,0.77113,2.20644,0.91188,0.000655618,0.000655618,0.000655618
60,33.7029,0.79964,0.91307,1.01312,0.96523,0.36743,0.91464,0.74657,0.79311,2.20865,0.9142,0.000665704,0.000665704,0.000665704
61,34.1516,0.72469,0.94635,1.05,0.96523,0.36743,0.91464,0.74657,0.79311,2.20865,0.9142,0.00067575,0.00067575,0.00067575
62,34.606,0.76441,0.94777,1.04773,0.96071,0.58772,0.93455,0.77152,0.81516,2.14887,0.92135,0.000685754,0.000685754,0.000685754
63,35.041,0.74547,0.82689,0.93906,0.96071,0.58772,0.93455,0.77152,0.81516,2.14887,0.92135,0.000695718,0.000695718,0.000695718
64,35.51,0.82844,0.89695,0.99137,0.93566,0.65778,0.95683,0.75447,0.84145,2.06104,0.9291,0.000705639,0.000705639,0.000705639
65,35.9756,0.72987,0.88413,1.01544,0.93566,0.65778,0.95683,0.75447,0.84145,2.06104,0.9291,0.00071552,0.00071552,0.00071552
66,36.4308,0.72076,0.81101,0.94477,0.90744,0.57897,0.96167,0.73745,0.84416,2.06614,0.9308,0.000725359,0.000725359,0.000725359
67,36.8586,0.76615,0.86026,0.97857,0.90744,0.57897,0.96167,0.73745,0.84416,2.06614,0.9308,0.000735158,0.000735158,0.000735158
68,37.3569,0.90767,0.98354,1.10237,0.86748,0.62459,0.95625,0.7475,0.80989,2.03445,0.9124,0.000744914,0.000744914,0.000744914
69,37.8091,0.71973,0.84331,0.96321,0.86748,0.62459,0.95625,0.7475,0.80989,2.03445,0.9124,0.00075463,0.00075463,0.00075463
70,38.2874,0.71112,0.82209,1.0114,0.90095,0.76004,0.95253,0.75868,0.74638,1.90965,0.87964,0.000764304,0.000764304,0.000764304
71,38.7399,0.72446,0.99006,1.06231,0.90095,0.76004,0.95253,0.75868,0.74638,1.90965,0.87964,0.000773938,0.000773938,0.000773938
72,39.4445,0.69832,0.79562,0.93874,0.92805,0.81836,0.95524,0.76081,0.77574,1.79676,0.88118,0.000783529,0.000783529,0.000783529
73,39.9185,0.72489,0.8542,0.94119,0.92805,0.81836,0.95524,0.76081,0.77574,1.79676,0.88118,0.00079308,0.00079308,0.00079308
74,40.4412,0.86543,0.81666,1.02407,0.93349,0.85654,0.96625,0.78456,0.76691,1.65536,0.88945,0.000802589,0.000802589,0.000802589
75,40.957,0.63802,0.79839,0.91807,0.93349,0.85654,0.96625,0.78456,0.76691,1.65536,0.88945,0.000812057,0.000812057,0.000812057
76,41.5267,0.85686,0.96814,1.07499,0.86549,0.73684,0.97625,0.83449,0.71183,1.62454,0.88972,0.000821484,0.000821484,0.000821484
77,42.0834,0.70328,0.81373,0.97662,0.86549,0.73684,0.97625,0.83449,0.71183,1.62454,0.88972,0.00083087,0.00083087,0.00083087
78,42.6349,0.72828,0.82032,0.96094,0.75853,0.63767,0.96482,0.80469,0.7025,1.7751,0.89045,0.000840214,0.000840214,0.000840214
79,43.1829,0.67329,0.77626,1.00736,0.75853,0.63767,0.96482,0.80469,0.7025,1.7751,0.89045,0.000849517,0.000849517,0.000849517
80,43.7782,0.70559,0.88858,1.04146,0.76005,0.64588,0.88074,0.73533,0.66372,1.85767,0.8661,0.000858779,0.000858779,0.000858779
81,44.4356,0.79954,0.96394,1.02876,0.76005,0.64588,0.88074,0.73533,0.66372,1.85767,0.8661,0.000868,0.000868,0.000868
82,45.0366,0.65651,0.9249,0.98156,0.75839,0.64166,0.83705,0.69853,0.65568,1.87267,0.86464,0.000877179,0.000877179,0.000877179
83,45.5608,0.88536,0.99938,1.08377,0.75839,0.64166,0.83705,0.69853,0.65568,1.87267,0.86464,0.000886318,0.000886318,0.000886318
84,46.0433,0.73724,0.81683,0.99799,0.79629,0.74724,0.92833,0.79582,0.62626,1.68539,0.84948,0.000895414,0.000895414,0.000895414
85,46.5032,0.6781,0.69025,0.87597,0.79629,0.74724,0.92833,0.79582,0.62626,1.68539,0.84948,0.00090447,0.00090447,0.00090447
86,47.1035,0.72304,0.85794,0.99449,0.77242,0.80177,0.97792,0.82995,0.62782,1.55344,0.86861,0.000913484,0.000913484,0.000913484
