epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1343.04,1.04309,0.64018,1.14467,0.97863,0.97624,0.99219,0.7547,0.90982,0.42297,1.04278,0.0016799,0.0016799,0.0016799
99,1357.06,1.05975,0.64605,1.15631,0.97179,0.96673,0.99079,0.74591,0.92033,0.43156,1.04374,0.0016766,0.0016766,0.0016766
100,1370.86,1.07259,0.65972,1.16054,0.96401,0.94106,0.98778,0.73606,0.9525,0.47244,1.06153,0.0016733,0.0016733,0.0016733
101,1384.84,1.06712,0.66013,1.16321,0.97616,0.97323,0.99147,0.76243,0.88543,0.41397,1.03082,0.00167,0.00167,0.00167
102,1398,1.03998,0.64131,1.14613,0.97923,0.98586,0.99181,0.75673,0.90063,0.40553,1.0286,0.0016667,0.0016667,0.0016667
103,1410.97,1.01701,0.62598,1.13018,0.97535,0.98099,0.99253,0.7742,0.84575,0.41622,1.00742,0.0016634,0.0016634,0.0016634
104,1424.19,1.0258,0.62639,1.13905,0.97887,0.98479,0.9925,0.78137,0.83783,0.39322,1.00156,0.0016601,0.0016601,0.0016601
105,1437.42,1.04976,0.65154,1.16178,0.97,0.9835,0.9927,0.77993,0.84195,0.40926,1.01122,0.0016568,0.0016568,0.0016568
106,1450.42,1.01894,0.60813,1.13175,0.96722,0.98169,0.9924,0.76492,0.86418,0.41145,1.01545,0.0016535,0.0016535,0.0016535
107,1463.56,1.03568,0.62437,1.14197,0.97287,0.98853,0.99301,0.77764,0.85648,0.39347,1.01143,0.0016502,0.0016502,0.0016502
